mailchimp_id,user_full_name,user_email,member_rating,optin_time,country_code,made_purchase,optin_days,email_provider
3,Garrick Langworth,garrick.langworth@gmail.com,2,2019-05-22 00:00:00.000000,in,1,-589,gmail.com
4,Cordell Dickens,cordell.dickens@gmail.com,4,2018-11-19 00:00:00.000000,other,1,-773,gmail.com
8,Inga Dach,inga.dach@gmail.com,2,2018-11-19 00:00:00.000000,other,1,-773,gmail.com
10,Ferdinand Bergstrom,ferdinand.bergstrom@gmail.com,2,2020-03-20 00:00:00.000000,co,1,-286,gmail.com
11,Justen Simonis,justen.simonis@gmail.com,2,2020-04-14 00:00:00.000000,other,0,-261,gmail.com
14,Marion Corwin,marion.corwin@hotmail.com,2,2019-11-04 00:00:00.000000,mx,0,-423,hotmail.com
18,Dr Sharif Kunde,dr.sharif.kunde@gmail.com,2,2020-01-22 00:00:00.000000,other,1,-344,gmail.com
19,Marlena Reichert d.d.s.,marlena.reichert.dds@gmail.com,2,2020-12-06 00:00:00.000000,in,1,-25,gmail.com
20,Mr. Brandan Oberbrunner,mr.brandan.oberbrunner@gmail.com,4,2019-07-10 00:00:00.000000,us,1,-540,gmail.com
22,Keesha Schowalter,keesha.schowalter@hotmail.com,2,2019-04-10 00:00:00.000000,sg,0,-631,hotmail.com
23,Randy Ziemann,randy.ziemann@gmail.com,2,2019-02-12 00:00:00.000000,in,1,-688,gmail.com
25,Cornell Funk,cornell.funk@gmail.com,2,2020-06-30 00:00:00.000000,in,0,-184,gmail.com
27,Kamryn Johnson,kamryn.johnson@gmail.com,2,2019-12-08 00:00:00.000000,other,1,-389,gmail.com
28,Tyesha Schmeler,tyesha.schmeler@gmail.com,2,2020-01-23 00:00:00.000000,sg,1,-343,gmail.com
31,Cleveland Predovic,cleveland.predovic@gmail.com,2,2020-03-27 00:00:00.000000,in,1,-279,gmail.com
33,Larry Nienow I,larry.nienow.i@gmail.com,2,2019-02-15 00:00:00.000000,other,0,-685,gmail.com
34,Nicola Langosh Ph.D.,nicola.langosh.phd@gmail.com,2,2018-10-31 00:00:00.000000,in,0,-792,gmail.com
35,Ebenezer Fadel V,ebenezer.fadel.v@gmail.com,2,2020-10-18 00:00:00.000000,other,1,-74,gmail.com
36,Andrae Hand-Eichmann,andrae.handeichmann@gmail.com,2,2019-09-26 00:00:00.000000,other,0,-462,gmail.com
38,Miss Lynn Altenwerth,miss.lynn.altenwerth@gmail.com,2,2018-11-19 00:00:00.000000,other,1,-773,gmail.com
40,Kyree Kutch,kyree.kutch@hotmail.com,4,2020-11-25 00:00:00.000000,nl,0,-36,hotmail.com
41,Ms Delpha Grant,ms.delpha.grant@gmail.com,2,2020-07-09 00:00:00.000000,other,0,-175,gmail.com
42,Ms. Icie Crooks,ms.icie.crooks@hotmail.com,2,2020-02-21 00:00:00.000000,other,0,-314,hotmail.com
43,Loney Jenkins-Lindgren,loney.jenkinslindgren@hotmail.com,2,2018-11-19 00:00:00.000000,other,0,-773,hotmail.com
44,Shania Donnelly DVM,shania.donnelly.dvm@hotmail.com,2,2020-08-01 00:00:00.000000,in,0,-152,hotmail.com
45,Dr Patric Veum,dr.patric.veum@gmail.com,2,2020-03-25 00:00:00.000000,us,1,-281,gmail.com
46,Amirah Rippin DVM,amirah.rippin.dvm@gmail.com,2,2020-08-05 00:00:00.000000,other,0,-148,gmail.com
47,Randle Hilpert,randle.hilpert@gmail.com,5,2020-05-04 00:00:00.000000,other,1,-241,gmail.com
50,Farah Daugherty DDS,farah.daugherty.dds@gmail.com,2,2019-11-12 00:00:00.000000,us,1,-415,gmail.com
52,Girtha Harvey DVM,girtha.harvey.dvm@yahoo.fr,2,2019-11-04 00:00:00.000000,other,0,-423,yahoo.fr
56,Katia Gibson md,katia.gibson.md@gmail.com,4,2020-11-11 00:00:00.000000,other,1,-50,gmail.com
58,Giuseppe Howell,giuseppe.howell@gmail.com,2,2019-09-11 00:00:00.000000,us,1,-477,gmail.com
60,Khiry Maggio,khiry.maggio@gmail.com,2,2019-01-11 00:00:00.000000,in,1,-720,gmail.com
61,Mrs. Vertie Renner,mrs.vertie.renner@gmail.com,2,2019-07-07 00:00:00.000000,other,1,-543,gmail.com
64,Rupert Rath V,rupert.rath.v@gmail.com,2,2020-12-31 00:00:00.000000,other,0,0,gmail.com
66,Doshia Hagenes,doshia.hagenes@gmail.com,2,2019-09-11 00:00:00.000000,other,1,-477,gmail.com
67,Lethia Hauck,lethia.hauck@gmail.com,2,2020-05-20 00:00:00.000000,other,1,-225,gmail.com
68,Tania Predovic,tania.predovic@gmail.com,5,2019-02-23 00:00:00.000000,in,0,-677,gmail.com
70,Dorthy Klocko md,dorthy.klocko.md@gmail.com,2,2019-09-25 00:00:00.000000,id,1,-463,gmail.com
71,Jerome Terry,jerome.terry@gmail.com,2,2019-09-22 00:00:00.000000,other,0,-466,gmail.com
75,Mr. Hassan Kozey Sr.,mr.hassan.kozey.sr@gmail.com,2,2019-10-09 00:00:00.000000,other,0,-449,gmail.com
76,Braxton Grimes Ph.D.,braxton.grimes.phd@gmail.com,2,2020-05-11 00:00:00.000000,other,1,-234,gmail.com
79,Marvin Weimann,marvin.weimann@gmail.com,2,2020-04-08 00:00:00.000000,mx,1,-267,gmail.com
